time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,133.000,934.620,64.416,1002.675,1004.494,1012.116,1018.180,1021.341,1025.585,1031.136,0.001
2,121.500,1008.113,1000.749,1003.155,1006.960,1011.818,1016.294,1018.563,1023.009,1028.110,0.001
4,118.500,1008.384,1001.079,1003.109,1007.703,1012.836,1015.754,1019.474,1022.945,1029.801,0.001
6,130.500,1007.591,1000.481,1002.920,1007.327,1011.161,1015.237,1016.932,1020.497,1020.818,0.001
8,59.000,1008.364,1001.149,1002.806,1007.249,1013.797,1016.345,1020.122,1023.928,1026.226,0.001
