time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,146.000,916.063,68.322,1001.796,1003.572,1011.565,1017.830,1021.652,1025.581,1028.436,0.001
2,112.000,1008.846,1001.195,1002.903,1007.235,1013.786,1017.824,1021.694,1031.881,1033.372,0.001
4,122.000,1008.025,987.821,1002.747,1004.995,1012.848,1016.500,1020.693,1030.648,1031.931,0.001
6,137.500,1007.170,1000.728,1002.441,1004.110,1010.912,1015.348,1017.066,1021.595,1025.070,0.001
8,76.500,1006.377,1001.319,1002.387,1003.127,1010.311,1015.022,1016.000,1020.333,1022.112,0.001
