time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,132.500,910.776,89.149,1002.638,1004.116,1012.566,1018.959,1020.943,1025.175,1027.240,0.001
2,121.500,1008.134,1001.266,1003.310,1007.408,1011.001,1015.796,1020.084,1025.355,1027.335,0.001
4,112.500,1008.790,996.766,1003.421,1008.322,1012.992,1016.885,1020.090,1022.373,1026.253,0.001
6,117.500,1008.434,1000.659,1003.085,1007.805,1013.545,1016.435,1019.676,1021.189,1022.492,0.001
8,61.500,1008.019,1000.670,1002.979,1008.092,1012.159,1014.716,1017.549,1020.322,1020.983,0.001
