time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,756.500,919.515,81.270,1000.616,1017.116,1024.453,1030.526,1034.829,1043.136,1055.327,0.001
2,543.000,1022.035,1000.625,1016.551,1021.839,1027.766,1034.175,1039.405,1051.219,1061.595,0.001
4,544.000,1021.946,990.397,1015.748,1021.652,1027.513,1032.529,1037.925,1058.423,1078.570,0.001
6,516.000,1023.054,1000.271,1015.259,1021.846,1028.898,1037.399,1043.811,1077.371,1106.482,0.001
8,553.000,1021.654,984.325,1015.251,1021.516,1028.265,1033.783,1038.464,1060.162,1077.320,0.001
10,553.000,1021.380,1000.341,1014.867,1020.753,1026.911,1034.244,1039.817,1059.227,1087.416,0.001
12,543.000,1022.076,1000.067,1015.520,1021.245,1028.371,1033.791,1040.425,1064.493,1086.183,0.001
14,563.500,1020.944,996.212,1015.008,1020.509,1026.564,1032.760,1037.444,1067.118,1084.692,0.001
16,583.000,1020.442,1000.135,1014.601,1019.998,1025.982,1031.877,1037.169,1057.505,1070.984,0.001
18,576.500,1020.972,1000.412,1014.818,1020.335,1026.778,1032.786,1037.568,1063.977,1089.245,0.001
20,563.000,1020.880,1000.395,1014.930,1020.426,1026.172,1033.071,1037.555,1055.723,1077.860,0.001
22,565.500,1021.151,1000.427,1015.052,1020.713,1026.471,1032.285,1037.771,1065.155,1093.676,0.001
24,558.000,1021.708,1000.379,1015.635,1020.931,1027.788,1033.160,1037.703,1061.700,1092.062,0.001
26,535.000,1022.157,1000.459,1015.544,1021.391,1027.921,1035.525,1040.909,1064.905,1099.559,0.001
28,551.000,1021.749,992.951,1015.439,1021.189,1027.553,1032.495,1037.806,1060.183,1118.502,0.001
30,515.500,1023.319,1000.651,1015.901,1021.998,1027.954,1035.581,1046.682,1093.284,1128.563,0.001
32,565.000,1020.934,1000.084,1014.373,1020.313,1026.898,1032.861,1038.107,1061.811,1091.226,0.001
34,559.000,1021.297,1000.297,1015.494,1020.794,1026.798,1032.155,1037.165,1056.078,1087.593,0.001
36,550.000,1021.858,1000.265,1015.448,1020.649,1027.594,1034.203,1040.949,1068.427,1087.789,0.001
38,254.000,1022.411,996.888,1015.662,1022.447,1028.712,1035.430,1040.682,1053.152,1063.823,0.001
