time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,131.500,922.845,42.012,1002.442,1004.702,1012.179,1018.728,1021.879,1025.166,1030.686,0.001
2,117.000,1008.435,1000.844,1003.154,1006.496,1012.822,1017.268,1020.402,1026.812,1028.560,0.001
4,120.000,1008.123,988.549,1002.977,1007.766,1012.692,1015.454,1018.870,1022.181,1029.595,0.001
6,127.000,1007.823,1000.738,1002.907,1008.126,1011.632,1014.467,1015.635,1020.160,1023.319,0.001
8,59.500,1008.394,1001.238,1003.107,1008.565,1011.865,1014.990,1019.822,1020.788,1021.038,0.001
