time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,130.500,916.654,163.545,1002.611,1004.443,1012.696,1018.931,1021.004,1025.579,1031.146,0.001
2,116.500,1008.410,1000.601,1003.094,1007.786,1012.998,1015.843,1018.628,1022.298,1024.301,0.001
4,114.000,1008.623,995.546,1003.128,1007.675,1013.487,1016.581,1019.801,1022.091,1026.488,0.001
6,130.500,1007.588,1000.629,1002.833,1005.436,1011.754,1015.465,1019.041,1021.240,1021.638,0.001
8,62.000,1007.901,1000.994,1003.029,1007.160,1011.729,1015.769,1020.100,1022.472,1024.126,0.001
