time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,185.000,908.607,55.387,1000.109,1002.702,1009.081,1014.496,1016.851,1020.360,1029.244,0.001
2,138.500,1007.070,1000.820,1002.253,1005.850,1011.288,1014.595,1017.717,1020.697,1028.140,0.001
4,152.000,1006.505,1000.770,1002.216,1003.188,1010.559,1014.510,1015.431,1020.467,1023.380,0.001
6,141.500,1007.072,1000.698,1002.332,1003.621,1012.011,1015.058,1016.317,1020.874,1030.834,0.001
8,68.000,1007.156,1000.713,1002.238,1005.483,1011.679,1014.765,1019.329,1020.567,1023.360,0.001
