time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,702.000,925.249,47.081,1001.136,1018.892,1025.891,1032.236,1036.572,1042.038,1050.139,0.001
2,560.000,1021.167,986.324,1015.459,1021.859,1027.870,1033.592,1036.694,1043.725,1061.478,0.001
4,535.500,1022.280,995.210,1016.531,1022.256,1028.545,1035.007,1040.540,1048.132,1068.108,0.001
6,538.500,1022.219,1000.329,1016.375,1022.024,1028.527,1034.480,1038.040,1053.781,1106.510,0.001
8,565.000,1021.057,985.711,1015.248,1021.475,1027.617,1032.702,1035.789,1041.463,1054.127,0.001
10,556.500,1021.341,992.275,1015.638,1021.412,1027.339,1033.468,1037.539,1052.154,1063.021,0.001
12,575.000,1020.819,1000.410,1015.247,1020.737,1026.218,1032.618,1037.044,1050.645,1091.812,0.001
14,579.000,1020.442,999.971,1014.625,1020.399,1026.111,1032.542,1035.405,1048.572,1074.463,0.001
16,566.500,1021.178,995.256,1015.246,1020.886,1026.616,1033.206,1036.900,1062.092,1097.623,0.001
18,580.500,1020.514,1000.322,1014.964,1020.798,1026.621,1031.813,1034.667,1040.995,1045.062,0.001
20,554.500,1021.480,1000.528,1015.928,1021.623,1027.349,1032.348,1037.856,1054.369,1070.932,0.001
22,532.500,1022.520,1000.355,1016.417,1022.746,1028.560,1034.538,1038.284,1059.904,1099.747,0.001
24,539.500,1022.176,1000.682,1017.027,1022.605,1027.987,1032.797,1037.321,1049.882,1063.500,0.001
26,509.000,1023.500,1000.258,1016.420,1022.968,1029.127,1035.710,1040.701,1105.538,1119.190,0.001
28,533.000,1022.371,1000.460,1016.347,1022.428,1028.779,1035.018,1040.400,1050.676,1075.303,0.001
30,525.500,1022.487,1000.451,1015.457,1022.385,1029.532,1035.583,1040.260,1053.583,1087.646,0.001
32,523.500,1022.823,1000.369,1016.304,1022.197,1028.838,1035.755,1040.939,1083.079,1119.933,0.001
34,562.000,1021.271,1000.427,1016.175,1021.791,1026.873,1032.109,1036.553,1048.521,1062.014,0.001
36,555.000,1021.433,1000.285,1015.393,1020.847,1026.826,1033.276,1038.344,1058.766,1105.295,0.001
38,285.000,1020.455,1000.097,1015.004,1020.070,1025.974,1032.044,1035.222,1044.841,1064.525,0.001
