time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
0,144.500,912.263,37.317,1001.574,1003.954,1011.638,1016.834,1020.345,1022.968,1032.925,0.001
2,131.000,1007.571,1001.219,1002.607,1004.239,1012.403,1016.093,1019.541,1023.654,1031.316,0.001
4,130.000,1007.570,1001.219,1002.648,1006.383,1011.606,1015.842,1019.003,1022.356,1029.940,0.001
6,133.500,1007.470,1000.782,1002.521,1004.559,1012.118,1015.510,1017.502,1022.308,1031.804,0.001
8,65.000,1007.624,1001.150,1002.666,1003.996,1012.790,1015.808,1020.379,1021.497,1021.685,0.001
